ID	关系类型	起始名称	起点标签	终点名称	终点标签	节点属性
1	属于	铜镍硅	产品系列	铜大类	概念实体	
2	属于	C64750	美标牌号	铜镍硅	产品系列	
3	属于	C70250	美标牌号	铜镍硅	产品系列	
4	属于	C19005	美标牌号	铜镍硅	产品系列	
5	属于	C70260	美标牌号	铜镍硅	产品系列	
6	属于	C19010	美标牌号	铜镍硅	产品系列	
8	属于	棒	产品形态	形态	概念实体	
9	属于	线	产品形态	形态	概念实体	
11	属于	铜镍硅	博威产品	博威牌号	概念实体	
21	属于	C64750	内控牌号	铜镍硅	博威产品	
22	属于	C70250LC	内控牌号	铜镍硅	博威产品	
23	属于	C19005	内控牌号	铜镍硅	博威产品	
24	属于	C70260D	内控牌号	铜镍硅	博威产品	
25	属于	C70250	内控牌号	铜镍硅	博威产品	
26	属于	C70260	内控牌号	铜镍硅	博威产品	
27	属于	C70250D	内控牌号	铜镍硅	博威产品	
28	属于	C70250HS	内控牌号	铜镍硅	博威产品	
29	属于	C19010G	内控牌号	铜镍硅	博威产品	
30	属于	C19010	内控牌号	铜镍硅	博威产品	
31	属于	板	产品形态	形态	概念实体	
32	属于	厚度	板形态	板	产品形态	
33	属于	形状	板形态	板	产品形态	
34	属于	板材	厚度类型	厚度	板形态	
35	属于	带材	厚度类型	厚度	板形态	
36	属于	线材	厚度类型	厚度	板形态	
37	属于	平带	形状类型	形状	板形态	
38	属于	异型带	形状类型	形状	板形态	
1000	属于	熔炼设备	设备类型	生产设备	通用设备	
1001	属于	半连铸炉	熔炼设备类型	熔炼设备	设备类型	
1002	属于	熔炼炉	半连铸炉设备	半连铸炉	熔炼设备类型	
1003	属于	保温炉	半连铸炉设备	半连铸炉	熔炼设备类型	
1004	属于	铸造机	半连铸炉设备	半连铸炉	熔炼设备类型	
1005	属于	其他设备	半连铸炉设备	半连铸炉	熔炼设备类型	
1006	属于	炉盖装置	熔炼炉部件	熔炼炉	半连铸炉设备	
1007	属于	炉体	熔炼炉部件	熔炼炉	半连铸炉设备	
1008	属于	熔化炉倾翻装置	熔炼炉部件	熔炼炉	半连铸炉设备	
1009	属于	熔化炉移动装置	熔炼炉部件	熔炼炉	半连铸炉设备	
1010	属于	炉盖装置	保温炉部件	保温炉	半连铸炉设备	
1011	属于	炉体	保温炉部件	保温炉	半连铸炉设备	
1012	属于	保温炉倾翻装置	保温炉部件	保温炉	半连铸炉设备	
1013	属于	保温炉移动装置	保温炉部件	保温炉	半连铸炉设备	
1014	属于	炭黑烘烤箱	铸造机部件	铸造机	半连铸炉设备	
1015	属于	控制系统	铸造机部件	铸造机	半连铸炉设备	
1016	属于	炉头箱	铸造机部件	铸造机	半连铸炉设备	
1017	属于	测温枪	其他设备	其他设备	半连铸炉设备	
1018	属于	除气工具	其他设备	其他设备	半连铸炉设备	
1019	属于	炭黑烘烤箱	其他设备	其他设备	半连铸炉设备	
1020	属于	结晶器	工装类型	工装	概念实体	
1021	属于	浇管	工装类型	工装	概念实体	
1022	属于	水架	工装类型	工装	概念实体	
